ts,open,high,low,close,volume
2024-04-16 16:00:00+00:00,32.94,34.6,32.69,33.98,62552.0
2024-04-16 20:00:00+00:00,33.94,35.15,33.91,34.77,63392.0
2024-04-17 00:00:00+00:00,34.71,35.04,34.1,34.72,33278.0
2024-04-17 04:00:00+00:00,34.7,35.35,34.45,34.92,23279.0
2024-04-17 08:00:00+00:00,34.92,35.19,33.84,33.85,34828.0
2024-04-17 12:00:00+00:00,33.87,34.17,32.45,32.61,107053.0
2024-04-17 16:00:00+00:00,32.61,35.2,32.21,34.13,81426.0
2024-04-17 20:00:00+00:00,34.2,34.52,33.44,33.56,37896.0
2024-04-18 00:00:00+00:00,33.6,34.63,32.77,34.3,30799.0
2024-04-18 04:00:00+00:00,34.33,34.77,33.12,33.3,52604.0
2024-04-18 08:00:00+00:00,33.3,35.4,32.95,34.92,60401.0
2024-04-18 12:00:00+00:00,34.95,35.59,33.8,35.0,81779.0
2024-04-18 16:00:00+00:00,35.01,35.21,34.08,34.87,48910.0
2024-04-18 20:00:00+00:00,34.88,35.15,34.68,34.82,29302.0
2024-04-19 00:00:00+00:00,34.8,34.8,31.9,33.58,105874.0
2024-04-19 04:00:00+00:00,33.58,36.12,33.52,35.17,139213.0
2024-04-19 08:00:00+00:00,35.18,35.72,35.02,35.4,63639.0
2024-04-19 12:00:00+00:00,35.38,35.63,34.74,35.3,51445.0
2024-04-19 16:00:00+00:00,35.31,35.44,34.76,35.29,44807.0
2024-04-19 20:00:00+00:00,35.28,35.38,34.11,34.64,34218.0
2024-04-20 00:00:00+00:00,34.65,35.31,34.11,35.14,29574.0
2024-04-20 04:00:00+00:00,35.15,35.96,35.07,35.82,21187.0
2024-04-20 08:00:00+00:00,35.81,35.87,34.92,35.0,43244.0
2024-04-20 12:00:00+00:00,35.0,36.63,34.86,36.58,32937.0
2024-04-20 16:00:00+00:00,36.58,37.7,36.35,37.5,88588.0
2024-04-20 20:00:00+00:00,37.51,38.46,37.51,38.29,33065.0
2024-04-21 00:00:00+00:00,38.27,38.74,37.63,38.18,43486.0
2024-04-21 04:00:00+00:00,38.17,38.3,37.77,38.0,28365.0
2024-04-21 08:00:00+00:00,37.98,38.11,37.32,37.45,70515.0
2024-04-21 12:00:00+00:00,37.45,37.52,36.75,37.16,41157.0
2024-04-21 16:00:00+00:00,37.18,37.23,36.34,36.94,50022.0
