ts,open,high,low,close,volume
2024-04-16 16:00:00+00:00,0.415,0.432,0.41,0.425,7018211.0
2024-04-16 20:00:00+00:00,0.425,0.436,0.424,0.432,5489813.0
2024-04-17 00:00:00+00:00,0.431,0.433,0.424,0.43,2975215.0
2024-04-17 04:00:00+00:00,0.429,0.436,0.427,0.43,1872040.0
2024-04-17 08:00:00+00:00,0.43,0.433,0.421,0.421,2382082.0
2024-04-17 12:00:00+00:00,0.421,0.426,0.407,0.411,7524956.0
2024-04-17 16:00:00+00:00,0.411,0.436,0.406,0.429,6160733.0
2024-04-17 20:00:00+00:00,0.429,0.432,0.423,0.425,2686355.0
2024-04-18 00:00:00+00:00,0.425,0.434,0.414,0.431,2019712.0
2024-04-18 04:00:00+00:00,0.432,0.434,0.419,0.422,2846594.0
2024-04-18 08:00:00+00:00,0.423,0.438,0.418,0.436,4805064.0
2024-04-18 12:00:00+00:00,0.436,0.437,0.423,0.432,11238235.0
2024-04-18 16:00:00+00:00,0.433,0.434,0.421,0.432,2205438.0
2024-04-18 20:00:00+00:00,0.431,0.435,0.43,0.432,1066634.0
2024-04-19 00:00:00+00:00,0.431,0.431,0.397,0.419,4768988.0
2024-04-19 04:00:00+00:00,0.418,0.444,0.417,0.436,5124025.0
2024-04-19 08:00:00+00:00,0.437,0.443,0.435,0.44,1585271.0
2024-04-19 12:00:00+00:00,0.439,0.442,0.432,0.44,2560732.0
2024-04-19 16:00:00+00:00,0.44,0.442,0.433,0.438,2434651.0
2024-04-19 20:00:00+00:00,0.438,0.439,0.425,0.433,1492577.0
2024-04-20 00:00:00+00:00,0.432,0.436,0.426,0.434,1061504.0
2024-04-20 04:00:00+00:00,0.433,0.437,0.432,0.434,937696.0
2024-04-20 08:00:00+00:00,0.433,0.434,0.429,0.433,1153764.0
2024-04-20 12:00:00+00:00,0.433,0.448,0.433,0.448,678505.0
2024-04-20 16:00:00+00:00,0.449,0.463,0.445,0.46,1303397.0
2024-04-20 20:00:00+00:00,0.46,0.465,0.459,0.462,731751.0
2024-04-21 00:00:00+00:00,0.461,0.466,0.455,0.462,2169730.0
2024-04-21 04:00:00+00:00,0.461,0.464,0.459,0.462,673459.0
2024-04-21 08:00:00+00:00,0.462,0.463,0.455,0.458,873325.0
2024-04-21 12:00:00+00:00,0.458,0.459,0.449,0.452,820638.0
2024-04-21 16:00:00+00:00,0.452,0.452,0.443,0.451,1074844.0
2024-04-21 20:00:00+00:00,0.45,0.457,0.448,0.453,735387.0
2024-04-22 00:00:00+00:00,0.454,0.468,0.452,0.465,956683.0
2024-04-22 04:00:00+00:00,0.465,0.475,0.464,0.466,4056702.0
2024-04-22 08:00:00+00:00,0.465,0.469,0.462,0.464,1908659.0
2024-04-22 12:00:00+00:00,0.464,0.467,0.46,0.466,762254.0
2024-04-22 16:00:00+00:00,0.466,0.469,0.462,0.468,1532427.0
2024-04-22 20:00:00+00:00,0.468,0.472,0.466,0.467,795879.0
2024-04-23 00:00:00+00:00,0.467,0.471,0.461,0.462,1024404.0
2024-04-23 04:00:00+00:00,0.462,0.466,0.456,0.459,1354807.0
2024-04-23 08:00:00+00:00,0.459,0.464,0.457,0.459,848157.0
2024-04-23 12:00:00+00:00,0.459,0.468,0.458,0.464,1568635.0
2024-04-23 16:00:00+00:00,0.464,0.469,0.461,0.464,993994.0
2024-04-23 20:00:00+00:00,0.465,0.467,0.46,0.462,765683.0
2024-04-24 00:00:00+00:00,0.463,0.468,0.458,0.465,706432.0
2024-04-24 04:00:00+00:00,0.466,0.472,0.466,0.469,2240397.0
2024-04-24 08:00:00+00:00,0.47,0.477,0.466,0.475,1962553.0
2024-04-24 12:00:00+00:00,0.475,0.477,0.449,0.451,2778010.0
2024-04-24 16:00:00+00:00,0.45,0.453,0.439,0.447,2243487.0
2024-04-24 20:00:00+00:00,0.447,0.447,0.43,0.437,1307016.0
2024-04-25 00:00:00+00:00,0.437,0.441,0.43,0.431,2290845.0
2024-04-25 04:00:00+00:00,0.432,0.437,0.425,0.432,2565204.0
2024-04-25 08:00:00+00:00,0.432,0.434,0.425,0.43,1364560.0
2024-04-25 12:00:00+00:00,0.43,0.441,0.424,0.44,4264114.0
2024-04-25 16:00:00+00:00,0.441,0.445,0.439,0.443,1147219.0
2024-04-25 20:00:00+00:00,0.443,0.448,0.441,0.441,568673.0
2024-04-26 00:00:00+00:00,0.442,0.444,0.432,0.438,5543669.0
2024-04-26 04:00:00+00:00,0.437,0.443,0.436,0.437,1243380.0
2024-04-26 08:00:00+00:00,0.437,0.439,0.432,0.435,969680.0
2024-04-26 12:00:00+00:00,0.434,0.443,0.429,0.438,2268419.0
2024-04-26 16:00:00+00:00,0.437,0.445,0.436,0.442,1145149.0
2024-04-26 20:00:00+00:00,0.443,0.447,0.436,0.439,1295539.0
2024-04-27 00:00:00+00:00,0.44,0.442,0.419,0.437,6506368.0
2024-04-27 04:00:00+00:00,0.437,0.439,0.433,0.433,1170776.0
2024-04-27 08:00:00+00:00,0.433,0.436,0.429,0.432,1701947.0
2024-04-27 12:00:00+00:00,0.431,0.437,0.43,0.431,1454497.0
2024-04-27 16:00:00+00:00,0.43,0.448,0.43,0.441,2411420.0
2024-04-27 20:00:00+00:00,0.442,0.445,0.439,0.444,212820.0
2024-04-28 00:00:00+00:00,0.444,0.451,0.444,0.448,1265534.0
2024-04-28 04:00:00+00:00,0.448,0.452,0.446,0.449,1346629.0
2024-04-28 08:00:00+00:00,0.448,0.45,0.444,0.444,1057241.0
2024-04-28 12:00:00+00:00,0.444,0.449,0.442,0.448,937357.0
2024-04-28 16:00:00+00:00,0.448,0.453,0.447,0.452,779200.0
2024-04-28 20:00:00+00:00,0.452,0.452,0.437,0.44,3617679.0
2024-04-29 00:00:00+00:00,0.44,0.447,0.433,0.433,3287271.0
2024-04-29 04:00:00+00:00,0.432,0.441,0.428,0.434,2021189.0
2024-04-29 08:00:00+00:00,0.433,0.435,0.427,0.427,2002047.0
2024-04-29 12:00:00+00:00,0.427,0.434,0.421,0.433,3769891.0
2024-04-29 16:00:00+00:00,0.433,0.434,0.425,0.427,2635240.0
