ts,open,high,low,close,volume
2024-04-16 16:00:00+00:00,0.9114,0.9579,0.8986,0.9405,446608.0
2024-04-16 20:00:00+00:00,0.9398,0.9823,0.9394,0.9679,281489.0
2024-04-17 00:00:00+00:00,0.9657,0.9843,0.9521,0.9746,187103.0
2024-04-17 04:00:00+00:00,0.9748,1.0157,0.9694,0.986,319780.0
2024-04-17 08:00:00+00:00,0.9864,0.99,0.9435,0.945,200116.0
2024-04-17 12:00:00+00:00,0.9455,0.96,0.9121,0.93,388509.0
2024-04-17 16:00:00+00:00,0.9258,0.9992,0.9138,0.9672,455624.0
2024-04-17 20:00:00+00:00,0.9697,0.9767,0.9421,0.945,175256.0
2024-04-18 00:00:00+00:00,0.945,0.9652,0.9151,0.9551,252464.0
2024-04-18 04:00:00+00:00,0.9544,0.9631,0.912,0.9174,190497.0
2024-04-18 08:00:00+00:00,0.917,0.9692,0.9034,0.9535,221382.0
2024-04-18 12:00:00+00:00,0.953,1.0094,0.93,1.0081,378257.0
2024-04-18 16:00:00+00:00,1.0081,1.0229,0.9718,1.0094,301049.0
2024-04-18 20:00:00+00:00,1.0097,1.0454,1.0025,1.0284,294246.0
2024-04-19 00:00:00+00:00,1.029,1.0296,0.9229,0.9863,559595.0
2024-04-19 04:00:00+00:00,0.9853,1.0742,0.9839,1.0351,573034.0
2024-04-19 08:00:00+00:00,1.0382,1.0656,1.0316,1.0513,429706.0
2024-04-19 12:00:00+00:00,1.0488,1.0917,1.0342,1.0753,449614.0
2024-04-19 16:00:00+00:00,1.0728,1.0947,1.0528,1.0739,388891.0
2024-04-19 20:00:00+00:00,1.0746,1.0749,1.0292,1.0501,216658.0
2024-04-20 00:00:00+00:00,1.0511,1.0671,1.0268,1.046,225151.0
2024-04-20 04:00:00+00:00,1.0436,1.068,1.0416,1.0619,190481.0
2024-04-20 08:00:00+00:00,1.0612,1.0623,1.0353,1.0536,140975.0
2024-04-20 12:00:00+00:00,1.0527,1.1257,1.0502,1.1249,386128.0
2024-04-20 16:00:00+00:00,1.1254,1.1908,1.1179,1.1752,536228.0
2024-04-20 20:00:00+00:00,1.1765,1.187,1.165,1.1845,124334.0
2024-04-21 00:00:00+00:00,1.1846,1.2052,1.1546,1.1789,241141.0
2024-04-21 04:00:00+00:00,1.1797,1.1873,1.169,1.1815,147920.0
2024-04-21 08:00:00+00:00,1.181,1.2167,1.1697,1.1921,382315.0
2024-04-21 12:00:00+00:00,1.1909,1.1942,1.1559,1.1729,267567.0
2024-04-21 16:00:00+00:00,1.1743,1.1747,1.1245,1.1402,248540.0
2024-04-21 20:00:00+00:00,1.1385,1.1682,1.1343,1.15,82867.0
2024-04-22 00:00:00+00:00,1.1536,1.19,1.1494,1.1793,156293.0
2024-04-22 04:00:00+00:00,1.1791,1.2209,1.1729,1.1833,260406.0
2024-04-22 08:00:00+00:00,1.1837,1.1872,1.1562,1.1633,286637.0
2024-04-22 12:00:00+00:00,1.163,1.1806,1.1448,1.1611,202985.0
2024-04-22 16:00:00+00:00,1.1608,1.1938,1.154,1.1774,171245.0
2024-04-22 20:00:00+00:00,1.1733,1.2159,1.1645,1.1899,206962.0
2024-04-23 00:00:00+00:00,1.1864,1.2201,1.164,1.165,341966.0
2024-04-23 04:00:00+00:00,1.1678,1.177,1.1414,1.148,201073.0
2024-04-23 08:00:00+00:00,1.1499,1.164,1.1406,1.1456,192921.0
2024-04-23 12:00:00+00:00,1.1474,1.2098,1.1407,1.1863,387925.0
2024-04-23 16:00:00+00:00,1.1864,1.2045,1.1759,1.181,666631.0
2024-04-23 20:00:00+00:00,1.1831,1.1859,1.1558,1.1667,121189.0
2024-04-24 00:00:00+00:00,1.1669,1.2039,1.1564,1.1811,203708.0
2024-04-24 04:00:00+00:00,1.1814,1.2168,1.1731,1.1886,327200.0
2024-04-24 08:00:00+00:00,1.1884,1.219,1.173,1.2137,359071.0
2024-04-24 12:00:00+00:00,1.2107,1.2292,1.1105,1.1176,781032.0
2024-04-24 16:00:00+00:00,1.1132,1.1323,1.0873,1.111,542055.0
2024-04-24 20:00:00+00:00,1.112,1.1139,1.0624,1.0753,232653.0
2024-04-25 00:00:00+00:00,1.0756,1.0873,1.0462,1.0506,196029.0
2024-04-25 04:00:00+00:00,1.0522,1.0624,1.0353,1.0431,274568.0
2024-04-25 08:00:00+00:00,1.042,1.0564,1.0188,1.0265,244926.0
2024-04-25 12:00:00+00:00,1.0256,1.0616,1.0074,1.0587,398190.0
2024-04-25 16:00:00+00:00,1.0581,1.0761,1.0494,1.0598,274607.0
2024-04-25 20:00:00+00:00,1.0596,1.075,1.0404,1.0412,150978.0
2024-04-26 00:00:00+00:00,1.0414,1.0446,0.999,1.0176,187181.0
2024-04-26 04:00:00+00:00,1.0175,1.03,1.01,1.016,130478.0
2024-04-26 08:00:00+00:00,1.0151,1.0265,1.0081,1.0131,139434.0
2024-04-26 12:00:00+00:00,1.0125,1.0379,0.9903,1.0117,426287.0
2024-04-26 16:00:00+00:00,1.01,1.0229,1.0025,1.0127,98134.0
2024-04-26 20:00:00+00:00,1.013,1.0218,0.9851,0.991,227754.0
2024-04-27 00:00:00+00:00,0.9927,1.0026,0.9226,0.9676,737722.0
2024-04-27 04:00:00+00:00,0.9669,0.9832,0.9587,0.9757,1307300.0
2024-04-27 08:00:00+00:00,0.9751,0.9921,0.972,0.9797,166994.0
2024-04-27 12:00:00+00:00,0.9789,1.0149,0.9768,0.9851,355269.0
2024-04-27 16:00:00+00:00,0.9851,1.0213,0.9814,1.0163,128008.0
2024-04-27 20:00:00+00:00,1.0171,1.0263,0.9975,1.0097,378302.0
2024-04-28 00:00:00+00:00,1.0082,1.055,1.0077,1.0438,313735.0
2024-04-28 04:00:00+00:00,1.0439,1.0509,1.0325,1.0422,197325.0
2024-04-28 08:00:00+00:00,1.0425,1.0444,1.0153,1.018,358970.0
2024-04-28 12:00:00+00:00,1.0184,1.0373,1.0141,1.0234,517296.0
2024-04-28 16:00:00+00:00,1.0238,1.0433,1.0221,1.0273,90103.0
2024-04-28 20:00:00+00:00,1.0266,1.0333,0.9911,1.0005,112117.0
2024-04-29 00:00:00+00:00,0.9993,1.0105,0.9728,0.9741,230975.0
2024-04-29 04:00:00+00:00,0.9734,0.9911,0.9616,0.9688,231120.0
2024-04-29 08:00:00+00:00,0.9672,0.9797,0.9593,0.9716,205463.0
2024-04-29 12:00:00+00:00,0.9724,0.9982,0.965,0.9909,258118.0
2024-04-29 16:00:00+00:00,0.9911,0.9938,0.9587,0.9733,444351.0
