ts,open,high,low,close,volume
2024-04-16 16:00:00+00:00,0.7691,0.813,0.7517,0.7764,8111498.0
2024-04-16 20:00:00+00:00,0.7764,0.8416,0.7748,0.8222,4068179.0
2024-04-17 00:00:00+00:00,0.8221,0.8468,0.7962,0.8052,5062985.0
2024-04-17 04:00:00+00:00,0.8047,0.8452,0.787,0.798,6498484.0
2024-04-17 08:00:00+00:00,0.7979,0.886,0.7977,0.8176,9803026.0
2024-04-17 12:00:00+00:00,0.8185,0.8322,0.7677,0.7763,8174843.0
2024-04-17 16:00:00+00:00,0.7764,0.8411,0.7677,0.8154,6084343.0
2024-04-17 20:00:00+00:00,0.8154,0.8313,0.7928,0.7963,3413784.0
2024-04-18 00:00:00+00:00,0.796,0.8017,0.7744,0.7939,4142565.0
2024-04-18 04:00:00+00:00,0.7936,0.8084,0.7415,0.7454,6057636.0
2024-04-18 08:00:00+00:00,0.7452,0.7936,0.7405,0.7754,6583270.0
2024-04-18 12:00:00+00:00,0.775,0.8275,0.7511,0.8158,8661843.0
2024-04-18 16:00:00+00:00,0.816,0.838,0.7849,0.8031,5323074.0
2024-04-18 20:00:00+00:00,0.8031,0.8048,0.7627,0.7658,3496485.0
2024-04-19 00:00:00+00:00,0.7662,0.7677,0.69,0.7392,12153912.0
2024-04-19 04:00:00+00:00,0.7394,0.8002,0.7382,0.7794,8856695.0
2024-04-19 08:00:00+00:00,0.7794,0.8029,0.7726,0.7833,6586654.0
2024-04-19 12:00:00+00:00,0.7831,0.7974,0.7605,0.7828,5815051.0
2024-04-19 16:00:00+00:00,0.7836,0.7897,0.7618,0.7682,4760460.0
2024-04-19 20:00:00+00:00,0.7682,0.7754,0.7317,0.7474,5263831.0
2024-04-20 00:00:00+00:00,0.7474,0.7573,0.7311,0.7412,4589326.0
2024-04-20 04:00:00+00:00,0.7418,0.7642,0.7387,0.7565,2210397.0
2024-04-20 08:00:00+00:00,0.7567,0.7639,0.746,0.7518,3490840.0
2024-04-20 12:00:00+00:00,0.7522,0.7924,0.7497,0.7924,3622284.0
2024-04-20 16:00:00+00:00,0.7925,0.8168,0.7844,0.813,4677144.0
2024-04-20 20:00:00+00:00,0.8136,0.8312,0.8019,0.8227,2119260.0
2024-04-21 00:00:00+00:00,0.8222,0.8489,0.799,0.8235,3695085.0
2024-04-21 04:00:00+00:00,0.8234,0.8467,0.8162,0.8382,2439624.0
