ts,open,high,low,close,volume
2024-04-16 16:00:00+00:00,5.7953,6.2809,5.7421,5.9058,131685.0
2024-04-16 20:00:00+00:00,5.8919,6.2338,5.8621,5.9526,118697.0
2024-04-17 00:00:00+00:00,5.951,6.1242,5.8561,6.0555,185550.0
2024-04-17 04:00:00+00:00,6.0575,6.254,6.0184,6.1294,148358.0
2024-04-17 08:00:00+00:00,6.1406,6.2529,5.9846,6.0044,112655.0
2024-04-17 12:00:00+00:00,6.0129,6.2444,5.8665,5.9017,168803.0
2024-04-17 16:00:00+00:00,5.8958,6.47,5.8437,6.1673,121614.0
2024-04-17 20:00:00+00:00,6.171,6.2473,6.0095,6.0266,57924.0
2024-04-18 00:00:00+00:00,6.0064,6.2293,5.9181,6.1529,60219.0
2024-04-18 04:00:00+00:00,6.145,6.17,5.8682,5.9128,45957.0
2024-04-18 08:00:00+00:00,5.9084,6.1955,5.8462,6.0794,72133.0
2024-04-18 12:00:00+00:00,6.0873,6.28,5.96,6.1543,62468.0
2024-04-18 16:00:00+00:00,6.1587,6.1794,5.8979,5.9888,39151.0
2024-04-18 20:00:00+00:00,5.989,5.9915,5.87,5.9365,17723.0
2024-04-19 00:00:00+00:00,5.9206,5.9246,5.4747,5.7999,149649.0
2024-04-19 04:00:00+00:00,5.7968,6.0672,5.72,5.8966,212145.0
2024-04-19 08:00:00+00:00,5.8952,5.9971,5.8553,5.9453,215566.0
2024-04-19 12:00:00+00:00,5.945,5.9843,5.7813,5.8658,51153.0
2024-04-19 16:00:00+00:00,5.8685,5.8826,5.762,5.8456,38658.0
2024-04-19 20:00:00+00:00,5.8368,5.8408,5.6201,5.7014,25365.0
2024-04-20 00:00:00+00:00,5.7024,5.9,5.6504,5.7526,52224.0
2024-04-20 04:00:00+00:00,5.742,5.8622,5.7067,5.8509,21824.0
2024-04-20 08:00:00+00:00,5.8599,5.96,5.8036,5.8677,32571.0
2024-04-20 12:00:00+00:00,5.865,5.9622,5.8219,5.942,39373.0
2024-04-20 16:00:00+00:00,5.9533,6.12,5.9023,6.0636,37485.0
2024-04-20 20:00:00+00:00,6.061,6.2913,6.05,6.2913,20436.0
2024-04-21 00:00:00+00:00,6.2972,6.4453,6.1726,6.1805,51684.0
2024-04-21 04:00:00+00:00,6.17,6.2,6.0379,6.08,20846.0
2024-04-21 08:00:00+00:00,6.0686,6.1297,6.0195,6.0512,16577.0
2024-04-21 12:00:00+00:00,6.0493,6.0505,5.8612,5.9137,38867.0
2024-04-21 16:00:00+00:00,5.9093,5.931,5.7851,5.9075,32918.0
2024-04-21 20:00:00+00:00,5.9,5.9824,5.8693,5.8819,26289.0
2024-04-22 00:00:00+00:00,5.8876,5.9788,5.8107,5.9176,28232.0
2024-04-22 04:00:00+00:00,5.91,6.1222,5.892,5.9906,74420.0
2024-04-22 08:00:00+00:00,5.9925,6.4333,5.9493,6.2302,68275.0
2024-04-22 12:00:00+00:00,6.239,6.8435,6.239,6.6848,223505.0
2024-04-22 16:00:00+00:00,6.6933,6.7,6.4563,6.5405,38184.0
2024-04-22 20:00:00+00:00,6.52,6.6943,6.4629,6.6547,28810.0
2024-04-23 00:00:00+00:00,6.6447,6.8337,6.6284,6.6589,77804.0
2024-04-23 04:00:00+00:00,6.6699,6.68,6.355,6.3933,108801.0
2024-04-23 08:00:00+00:00,6.3962,6.6473,6.36,6.6215,75809.0
2024-04-23 12:00:00+00:00,6.6147,6.747,6.5138,6.5577,88909.0
2024-04-23 16:00:00+00:00,6.5718,6.68,6.5392,6.6351,42722.0
2024-04-23 20:00:00+00:00,6.6404,6.6404,6.4544,6.49,42508.0
2024-04-24 00:00:00+00:00,6.4859,6.63,6.2942,6.327,67456.0
2024-04-24 04:00:00+00:00,6.328,6.4332,6.2005,6.22,66194.0
2024-04-24 08:00:00+00:00,6.2115,6.3752,6.1616,6.351,43163.0
2024-04-24 12:00:00+00:00,6.351,6.403,6.118,6.1813,83122.0
2024-04-24 16:00:00+00:00,6.1675,6.2656,6.1044,6.1772,27234.0
2024-04-24 20:00:00+00:00,6.1826,6.3229,6.1276,6.28,45635.0
2024-04-25 00:00:00+00:00,6.2749,6.3439,6.0027,6.055,76785.0
2024-04-25 04:00:00+00:00,6.0489,6.1783,5.9788,6.055,24964.0
