ts,open,high,low,close,volume
2024-07-26 08:00:00+00:00,8.046,8.046,6.092,6.824,30383.0
2024-07-26 12:00:00+00:00,6.799,6.934,6.714,6.837,48061.0
2024-07-26 16:00:00+00:00,6.84,6.983,6.778,6.879,35532.0
2024-07-26 20:00:00+00:00,6.83,6.872,6.745,6.799,29507.0
2024-07-27 00:00:00+00:00,6.784,6.784,6.525,6.744,27586.0
2024-07-27 04:00:00+00:00,6.722,6.817,6.652,6.805,27541.0
2024-07-27 08:00:00+00:00,6.811,6.852,6.727,6.731,12597.0
2024-07-27 12:00:00+00:00,6.729,6.812,6.53,6.56,41021.0
2024-07-27 16:00:00+00:00,6.551,6.649,6.484,6.528,24104.0
2024-07-27 20:00:00+00:00,6.521,6.646,6.333,6.471,27174.0
2024-07-28 00:00:00+00:00,6.46,6.55,6.344,6.48,11524.0
2024-07-28 04:00:00+00:00,6.473,6.506,6.38,6.506,8072.0
2024-07-28 08:00:00+00:00,6.476,6.531,6.399,6.401,10622.0
2024-07-28 12:00:00+00:00,6.416,6.53,6.153,6.286,51354.0
2024-07-28 16:00:00+00:00,6.285,6.373,6.272,6.292,12887.0
2024-07-28 20:00:00+00:00,6.271,6.364,6.21,6.268,8389.0
2024-07-29 00:00:00+00:00,6.264,6.513,6.232,6.443,8187.0
2024-07-29 04:00:00+00:00,6.462,6.6,6.416,6.556,8430.0
2024-07-29 08:00:00+00:00,6.55,6.652,6.514,6.627,9975.0
2024-07-29 12:00:00+00:00,6.627,6.634,6.319,6.461,16215.0
2024-07-29 16:00:00+00:00,6.454,6.507,6.116,6.266,20699.0
2024-07-29 20:00:00+00:00,6.246,6.267,6.149,6.149,8270.0
2024-07-30 00:00:00+00:00,6.166,6.291,6.1,6.256,10063.0
2024-07-30 04:00:00+00:00,6.252,6.277,6.128,6.241,3756.0
2024-07-30 08:00:00+00:00,6.24,6.3,6.168,6.21,7304.0
2024-07-30 12:00:00+00:00,6.188,6.236,6.136,6.178,5913.0
2024-07-30 16:00:00+00:00,6.155,6.181,5.947,6.008,12665.0
2024-07-30 20:00:00+00:00,6.012,6.05,5.919,6.016,9304.0
2024-07-31 00:00:00+00:00,6.011,6.188,5.992,5.992,4791.0
2024-07-31 04:00:00+00:00,6.016,6.057,5.736,5.997,31695.0
2024-07-31 08:00:00+00:00,6.002,6.002,5.826,5.906,23945.0
2024-07-31 12:00:00+00:00,5.912,6.064,5.872,5.873,6228.0
2024-07-31 16:00:00+00:00,5.871,5.972,5.755,5.799,16774.0
2024-07-31 20:00:00+00:00,5.764,5.815,5.697,5.735,13413.0
2024-08-01 00:00:00+00:00,5.744,5.889,5.707,5.713,7303.0
2024-08-01 04:00:00+00:00,5.723,5.75,5.513,5.56,23989.0
2024-08-01 08:00:00+00:00,5.567,5.695,5.49,5.502,18820.0
2024-08-01 12:00:00+00:00,5.496,5.641,5.162,5.197,98756.0
2024-08-01 16:00:00+00:00,5.172,5.494,5.113,5.314,28040.0
2024-08-01 20:00:00+00:00,5.298,5.684,5.254,5.63,21401.0
2024-08-02 00:00:00+00:00,5.6,5.642,5.329,5.449,9461.0
2024-08-02 04:00:00+00:00,5.436,5.525,5.376,5.4,8730.0
2024-08-02 08:00:00+00:00,5.382,5.45,5.267,5.314,14471.0
2024-08-02 12:00:00+00:00,5.329,5.356,4.888,5.105,39320.0
2024-08-02 16:00:00+00:00,5.098,5.125,4.88,4.936,10312.0
2024-08-02 20:00:00+00:00,4.94,4.984,4.837,4.928,11925.0
2024-08-03 00:00:00+00:00,4.933,4.998,4.756,4.998,21743.0
2024-08-03 04:00:00+00:00,4.99,5.15,4.9,5.135,13570.0
2024-08-03 08:00:00+00:00,5.13,5.158,5.024,5.129,15581.0
2024-08-03 12:00:00+00:00,5.136,5.326,5.006,5.027,25765.0
2024-08-03 16:00:00+00:00,5.04,5.106,4.774,4.792,28237.0
2024-08-03 20:00:00+00:00,4.8,5.082,4.774,4.944,37656.0
2024-08-04 00:00:00+00:00,4.929,5.083,4.875,5.014,15127.0
2024-08-04 04:00:00+00:00,5.005,5.047,4.848,4.894,14150.0
2024-08-04 08:00:00+00:00,4.9,4.98,4.832,4.915,12080.0
2024-08-04 12:00:00+00:00,4.944,4.945,4.479,4.499,41215.0
2024-08-04 16:00:00+00:00,4.502,4.758,4.289,4.707,47256.0
2024-08-04 20:00:00+00:00,4.7,4.76,4.487,4.53,18377.0
2024-08-05 00:00:00+00:00,4.522,4.608,3.835,3.96,132154.0
2024-08-05 04:00:00+00:00,3.958,4.171,3.412,4.123,123801.0
2024-08-05 08:00:00+00:00,4.124,4.289,3.651,3.784,76929.0
2024-08-05 12:00:00+00:00,3.79,4.358,3.524,4.301,119354.0
2024-08-05 16:00:00+00:00,4.296,4.508,4.056,4.113,44738.0
2024-08-05 20:00:00+00:00,4.116,4.32,4.092,4.122,24811.0
2024-08-06 00:00:00+00:00,4.121,4.516,4.121,4.452,61818.0
2024-08-06 04:00:00+00:00,4.443,4.806,4.4,4.783,106675.0
2024-08-06 08:00:00+00:00,4.776,4.786,4.548,4.605,62822.0
2024-08-06 12:00:00+00:00,4.609,4.873,4.513,4.793,113265.0
2024-08-06 16:00:00+00:00,4.789,4.852,4.73,4.756,43687.0
2024-08-06 20:00:00+00:00,4.76,4.817,4.628,4.675,60582.0
2024-08-07 00:00:00+00:00,4.665,4.888,4.563,4.831,108019.0
2024-08-07 04:00:00+00:00,4.812,4.974,4.776,4.8,101990.0
2024-08-07 08:00:00+00:00,4.801,4.916,4.741,4.767,57578.0
2024-08-07 12:00:00+00:00,4.777,4.925,4.471,4.659,121179.0
2024-08-07 16:00:00+00:00,4.661,4.682,4.371,4.391,82922.0
2024-08-07 20:00:00+00:00,4.389,4.475,4.289,4.373,56139.0
2024-08-08 00:00:00+00:00,4.365,4.718,4.253,4.621,123068.0
2024-08-08 04:00:00+00:00,4.614,4.705,4.492,4.5,63865.0
2024-08-08 08:00:00+00:00,4.495,4.569,4.433,4.552,43029.0
