ts,open,high,low,close,volume
2024-04-16 16:00:00+00:00,127.568,135.373,126.206,132.153,193289.0
2024-04-16 20:00:00+00:00,132.042,137.883,131.572,136.155,59967.0
2024-04-17 00:00:00+00:00,136.192,138.161,134.754,137.311,61174.0
2024-04-17 04:00:00+00:00,137.311,142.562,136.628,139.377,192454.0
2024-04-17 08:00:00+00:00,139.384,140.164,133.894,134.144,102006.0
2024-04-17 12:00:00+00:00,134.208,134.971,127.516,128.644,292558.0
2024-04-17 16:00:00+00:00,128.644,137.864,126.812,134.535,316663.0
2024-04-17 20:00:00+00:00,134.623,138.039,131.56,131.788,127189.0
2024-04-18 00:00:00+00:00,131.771,136.555,129.614,135.498,144980.0
2024-04-18 04:00:00+00:00,135.427,136.767,128.935,129.373,130228.0
2024-04-18 08:00:00+00:00,129.394,136.885,127.558,135.677,248625.0
2024-04-18 12:00:00+00:00,135.668,141.337,131.853,138.895,226974.0
2024-04-18 16:00:00+00:00,138.897,141.378,135.516,140.245,113137.0
2024-04-18 20:00:00+00:00,140.215,143.86,139.456,141.884,104524.0
2024-04-19 00:00:00+00:00,141.943,141.951,128.438,136.405,280741.0
2024-04-19 04:00:00+00:00,136.412,146.8,136.099,143.247,277171.0
2024-04-19 08:00:00+00:00,143.268,145.883,142.4,144.354,158142.0
2024-04-19 12:00:00+00:00,144.338,147.467,141.581,146.087,128422.0
2024-04-19 16:00:00+00:00,146.042,147.361,143.606,145.368,78755.0
2024-04-19 20:00:00+00:00,145.317,145.662,139.872,142.338,78815.0
2024-04-20 00:00:00+00:00,142.397,143.496,139.632,142.333,87329.0
2024-04-20 04:00:00+00:00,142.307,144.954,141.501,143.451,118216.0
2024-04-20 08:00:00+00:00,143.409,143.503,140.029,141.409,84908.0
2024-04-20 12:00:00+00:00,141.48,147.375,140.862,147.117,82864.0
2024-04-20 16:00:00+00:00,147.152,151.749,146.231,151.131,101616.0
2024-04-20 20:00:00+00:00,151.131,152.324,149.062,151.172,40048.0
2024-04-21 00:00:00+00:00,151.146,153.37,148.035,150.607,59963.0
2024-04-21 04:00:00+00:00,150.543,151.722,149.714,151.031,45219.0
2024-04-21 08:00:00+00:00,151.048,152.594,149.508,151.362,57086.0
2024-04-21 12:00:00+00:00,151.38,151.657,148.423,150.043,64716.0
2024-04-21 16:00:00+00:00,150.057,150.232,146.667,147.926,72213.0
2024-04-21 20:00:00+00:00,147.895,150.699,147.41,148.776,46443.0
2024-04-22 00:00:00+00:00,148.722,151.472,146.612,150.238,91161.0
2024-04-22 04:00:00+00:00,150.23,156.523,149.894,153.454,97656.0
2024-04-22 08:00:00+00:00,153.571,154.609,152.209,153.125,51296.0
2024-04-22 12:00:00+00:00,153.162,154.866,151.46,153.291,71650.0
2024-04-22 16:00:00+00:00,153.329,156.095,152.275,154.423,83694.0
2024-04-22 20:00:00+00:00,154.453,158.4,154.008,156.837,55130.0
2024-04-23 00:00:00+00:00,156.836,159.203,155.357,155.41,58629.0
