ts,open,high,low,close,volume
2024-04-16 16:00:00+00:00,1.1398,1.21,1.1341,1.1846,844322.0
2024-04-16 20:00:00+00:00,1.1826,1.2316,1.1796,1.223,540200.0
2024-04-17 00:00:00+00:00,1.2217,1.2373,1.2062,1.214,373910.0
2024-04-17 04:00:00+00:00,1.2145,1.2408,1.2018,1.2213,555705.0
2024-04-17 08:00:00+00:00,1.2214,1.2293,1.1831,1.1838,346762.0
2024-04-17 12:00:00+00:00,1.1854,1.2793,1.1761,1.2559,3745346.0
2024-04-17 16:00:00+00:00,1.2566,1.3561,1.2269,1.3277,2210507.0
2024-04-17 20:00:00+00:00,1.329,1.3357,1.2517,1.26,1205494.0
2024-04-18 00:00:00+00:00,1.2592,1.2868,1.2214,1.2567,1220248.0
2024-04-18 04:00:00+00:00,1.2574,1.2833,1.206,1.2165,1387216.0
2024-04-18 08:00:00+00:00,1.2164,1.2606,1.2044,1.2456,663513.0
2024-04-18 12:00:00+00:00,1.2426,1.2538,1.2058,1.2326,2059899.0
2024-04-18 16:00:00+00:00,1.2342,1.2469,1.1961,1.2408,1278906.0
2024-04-18 20:00:00+00:00,1.2414,1.2595,1.2341,1.2542,385900.0
2024-04-19 00:00:00+00:00,1.2538,1.2538,1.1331,1.2028,1938246.0
2024-04-19 04:00:00+00:00,1.2034,1.2714,1.2014,1.2538,1257286.0
2024-04-19 08:00:00+00:00,1.254,1.304,1.2514,1.2937,683599.0
2024-04-19 12:00:00+00:00,1.2925,1.337,1.2863,1.3077,1215812.0
2024-04-19 16:00:00+00:00,1.3089,1.3904,1.3061,1.3822,1105383.0
2024-04-19 20:00:00+00:00,1.3827,1.3872,1.3106,1.3324,513767.0
2024-04-20 00:00:00+00:00,1.3321,1.3439,1.304,1.3255,443917.0
2024-04-20 04:00:00+00:00,1.3248,1.3769,1.3204,1.3663,534424.0
2024-04-20 08:00:00+00:00,1.3639,1.3639,1.3201,1.3257,514610.0
2024-04-20 12:00:00+00:00,1.3263,1.3675,1.3249,1.3637,510138.0
2024-04-20 16:00:00+00:00,1.364,1.3985,1.35,1.3928,741926.0
2024-04-20 20:00:00+00:00,1.3928,1.4343,1.3867,1.4266,546478.0
2024-04-21 00:00:00+00:00,1.4254,1.444,1.3984,1.4075,550035.0
2024-04-21 04:00:00+00:00,1.4054,1.408,1.3883,1.4043,333453.0
2024-04-21 08:00:00+00:00,1.4053,1.4141,1.3824,1.3878,549658.0
2024-04-21 12:00:00+00:00,1.3879,1.3934,1.3559,1.3752,298210.0
2024-04-21 16:00:00+00:00,1.3761,1.3774,1.3397,1.3671,541815.0
2024-04-21 20:00:00+00:00,1.3669,1.3886,1.3623,1.3688,204533.0
2024-04-22 00:00:00+00:00,1.3693,1.4047,1.3528,1.3953,346798.0
2024-04-22 04:00:00+00:00,1.3939,1.4215,1.3926,1.4076,351351.0
2024-04-22 08:00:00+00:00,1.4083,1.4388,1.388,1.4117,350923.0
2024-04-22 12:00:00+00:00,1.41,1.4203,1.3789,1.3926,307250.0
2024-04-22 16:00:00+00:00,1.3928,1.4301,1.3855,1.3897,227205.0
2024-04-22 20:00:00+00:00,1.3896,1.4027,1.3819,1.3909,186605.0
2024-04-23 00:00:00+00:00,1.3914,1.4163,1.3692,1.3721,286685.0
2024-04-23 04:00:00+00:00,1.3716,1.38,1.3429,1.3483,302090.0
2024-04-23 08:00:00+00:00,1.3506,1.3562,1.3345,1.3424,262782.0
2024-04-23 12:00:00+00:00,1.3425,1.3778,1.3344,1.3643,348034.0
2024-04-23 16:00:00+00:00,1.3641,1.3729,1.3095,1.3245,375352.0
2024-04-23 20:00:00+00:00,1.3237,1.3283,1.3098,1.3252,150315.0
2024-04-24 00:00:00+00:00,1.325,1.342,1.3125,1.3336,341712.0
2024-04-24 04:00:00+00:00,1.3337,1.3481,1.3135,1.3177,296001.0
2024-04-24 08:00:00+00:00,1.3171,1.3354,1.3046,1.3309,307011.0
2024-04-24 12:00:00+00:00,1.3306,1.342,1.2648,1.2684,2564297.0
2024-04-24 16:00:00+00:00,1.2683,1.288,1.2508,1.2717,605508.0
2024-04-24 20:00:00+00:00,1.2705,1.2748,1.2351,1.2497,1811675.0
2024-04-25 00:00:00+00:00,1.2491,1.2649,1.2243,1.2302,458269.0
