ts,open,high,low,close,volume
2024-04-16 16:00:00+00:00,0.8606,0.9752,0.8446,0.9558,90565.0
2024-04-16 20:00:00+00:00,0.956,0.9977,0.9557,0.973,47959.0
2024-04-17 00:00:00+00:00,0.9758,0.999,0.9653,0.9742,78286.0
2024-04-17 04:00:00+00:00,0.9679,1.0043,0.9526,0.9571,65425.0
2024-04-17 08:00:00+00:00,0.9547,0.9621,0.9236,0.9247,28442.0
2024-04-17 12:00:00+00:00,0.9252,0.9459,0.9,0.9023,96767.0
2024-04-17 16:00:00+00:00,0.9,0.9704,0.8909,0.9417,48920.0
2024-04-17 20:00:00+00:00,0.9398,0.945,0.9127,0.9127,15634.0
2024-04-18 00:00:00+00:00,0.9091,0.954,0.894,0.9447,19930.0
2024-04-18 04:00:00+00:00,0.9441,0.9471,0.9194,0.9276,11464.0
2024-04-18 08:00:00+00:00,0.9267,0.9651,0.9174,0.947,30986.0
2024-04-18 12:00:00+00:00,0.9476,0.988,0.9314,0.9828,46007.0
2024-04-18 16:00:00+00:00,0.99,1.0012,0.9599,0.9691,27403.0
2024-04-18 20:00:00+00:00,0.9666,1.0002,0.9666,0.9742,14154.0
2024-04-19 00:00:00+00:00,0.972,0.9833,0.8956,0.9781,50317.0
2024-04-19 04:00:00+00:00,0.9836,1.0278,0.954,1.0142,51830.0
2024-04-19 08:00:00+00:00,1.008,1.0465,1.0032,1.0282,29515.0
2024-04-19 12:00:00+00:00,1.0265,1.06,1.026,1.0414,30736.0
2024-04-19 16:00:00+00:00,1.0427,1.0471,1.026,1.0355,15729.0
2024-04-19 20:00:00+00:00,1.026,1.0315,0.9944,1.0179,14320.0
2024-04-20 00:00:00+00:00,1.008,1.0168,0.9872,1.0032,7533.0
2024-04-20 04:00:00+00:00,1.0026,1.0459,1.0026,1.0288,13101.0
2024-04-20 08:00:00+00:00,1.026,1.0511,1.017,1.0236,33739.0
2024-04-20 12:00:00+00:00,1.0249,1.0697,1.0138,1.0697,7004.0
2024-04-20 16:00:00+00:00,1.068,1.1035,1.053,1.0968,29475.0
2024-04-20 20:00:00+00:00,1.0891,1.1163,1.08,1.1031,13623.0
2024-04-21 00:00:00+00:00,1.1035,1.12,1.0959,1.0978,14222.0
2024-04-21 04:00:00+00:00,1.0936,1.1031,1.0669,1.0766,17813.0
2024-04-21 08:00:00+00:00,1.0789,1.1364,1.0652,1.1364,30561.0
2024-04-21 12:00:00+00:00,1.1327,1.1368,1.071,1.0788,41637.0
2024-04-21 16:00:00+00:00,1.0779,1.078,1.0505,1.0684,38488.0
2024-04-21 20:00:00+00:00,1.062,1.086,1.062,1.0767,5875.0
2024-04-22 00:00:00+00:00,1.08,1.0947,1.0638,1.0928,11015.0
2024-04-22 04:00:00+00:00,1.0899,1.1455,1.0791,1.0934,31794.0
2024-04-22 08:00:00+00:00,1.0934,1.1073,1.0763,1.0763,14836.0
2024-04-22 12:00:00+00:00,1.0769,1.0818,1.0605,1.0767,24436.0
2024-04-22 16:00:00+00:00,1.0772,1.0803,1.0459,1.0692,69410.0
2024-04-22 20:00:00+00:00,1.0679,1.0788,1.0657,1.0682,14863.0
2024-04-23 00:00:00+00:00,1.0681,1.0842,1.059,1.059,17022.0
2024-04-23 04:00:00+00:00,1.0675,1.0684,1.0437,1.0462,21608.0
2024-04-23 08:00:00+00:00,1.0473,1.0685,1.0459,1.0606,13552.0
2024-04-23 12:00:00+00:00,1.0608,1.1016,1.0563,1.0852,22232.0
2024-04-23 16:00:00+00:00,1.084,1.0878,1.0573,1.0702,43722.0
2024-04-23 20:00:00+00:00,1.0702,1.0702,1.0538,1.0654,6045.0
2024-04-24 00:00:00+00:00,1.0645,1.0734,1.0509,1.0515,46561.0
2024-04-24 04:00:00+00:00,1.0514,1.0766,1.0488,1.0492,18901.0
2024-04-24 08:00:00+00:00,1.0482,1.0582,1.0291,1.0582,9456.0
2024-04-24 12:00:00+00:00,1.0562,1.0562,0.9905,0.9961,40358.0
2024-04-24 16:00:00+00:00,0.9962,1.0133,0.981,0.9993,29913.0
2024-04-24 20:00:00+00:00,0.9992,1.004,0.9769,0.9881,22279.0
2024-04-25 00:00:00+00:00,0.9854,0.9951,0.9712,0.9719,24478.0
2024-04-25 04:00:00+00:00,0.9689,0.9868,0.9608,0.9777,19358.0
2024-04-25 08:00:00+00:00,0.9755,0.9832,0.9507,0.9661,16700.0
2024-04-25 12:00:00+00:00,0.9603,0.9826,0.9483,0.9796,18928.0
2024-04-25 16:00:00+00:00,0.9829,0.9829,0.9647,0.9723,17866.0
2024-04-25 20:00:00+00:00,0.9772,0.9851,0.963,0.9652,3665.0
2024-04-26 00:00:00+00:00,0.9624,0.9667,0.936,0.9546,13235.0
2024-04-26 04:00:00+00:00,0.9501,0.969,0.9501,0.9528,4603.0
2024-04-26 08:00:00+00:00,0.9515,0.9603,0.9447,0.9464,10798.0
2024-04-26 12:00:00+00:00,0.9443,0.9647,0.9314,0.9432,19572.0
2024-04-26 16:00:00+00:00,0.9422,0.9442,0.9303,0.9318,12629.0
2024-04-26 20:00:00+00:00,0.9311,0.9438,0.9195,0.9331,16988.0
2024-04-27 00:00:00+00:00,0.9315,0.936,0.8941,0.9263,60855.0
2024-04-27 04:00:00+00:00,0.9254,0.9304,0.9158,0.9252,20250.0
2024-04-27 08:00:00+00:00,0.9256,0.9314,0.9047,0.9113,18750.0
2024-04-27 12:00:00+00:00,0.909,0.9306,0.909,0.9233,27550.0
2024-04-27 16:00:00+00:00,0.9208,0.9522,0.9208,0.9317,17314.0
2024-04-27 20:00:00+00:00,0.9355,0.9377,0.9258,0.9347,7708.0
2024-04-28 00:00:00+00:00,0.9341,0.9638,0.9341,0.951,24201.0
2024-04-28 04:00:00+00:00,0.951,0.9584,0.9487,0.9576,8688.0
2024-04-28 08:00:00+00:00,0.9577,0.9577,0.927,0.9295,34555.0
2024-04-28 12:00:00+00:00,0.9317,0.9464,0.9312,0.938,8754.0
2024-04-28 16:00:00+00:00,0.9396,0.954,0.9396,0.9454,10990.0
2024-04-28 20:00:00+00:00,0.9439,0.9457,0.918,0.9227,10532.0
2024-04-29 00:00:00+00:00,0.9254,0.9394,0.9117,0.9117,7007.0
2024-04-29 04:00:00+00:00,0.9178,0.927,0.9021,0.9107,9481.0
2024-04-29 08:00:00+00:00,0.9,0.909,0.8952,0.8961,3471.0
2024-04-29 12:00:00+00:00,0.8997,0.9152,0.8925,0.9141,41573.0
2024-04-29 16:00:00+00:00,0.9143,0.9194,0.9026,0.9123,20898.0
2024-04-29 20:00:00+00:00,0.9134,0.934,0.9,0.9264,18461.0
2024-04-30 00:00:00+00:00,0.9229,0.94,0.9059,0.9176,35338.0
2024-04-30 04:00:00+00:00,0.9191,0.9206,0.9081,0.91,20862.0
2024-04-30 08:00:00+00:00,0.9113,0.9127,0.862,0.8635,77199.0
2024-04-30 12:00:00+00:00,0.8649,0.8665,0.8485,0.8516,68523.0
2024-04-30 16:00:00+00:00,0.8528,0.8544,0.8344,0.8381,74379.0
2024-04-30 20:00:00+00:00,0.8398,0.8866,0.8398,0.8817,35218.0
2024-05-01 00:00:00+00:00,0.8814,0.8852,0.8637,0.8749,39135.0
2024-05-01 04:00:00+00:00,0.8749,0.8774,0.8275,0.8335,84393.0
2024-05-01 08:00:00+00:00,0.8331,0.8551,0.8165,0.8551,61503.0
2024-05-01 12:00:00+00:00,0.8583,0.8693,0.8432,0.8432,17842.0
2024-05-01 16:00:00+00:00,0.8415,0.9179,0.8415,0.8779,52145.0
2024-05-01 20:00:00+00:00,0.88,0.8945,0.8721,0.8934,15555.0
2024-05-02 00:00:00+00:00,0.8931,0.8931,0.8669,0.8721,21523.0
2024-05-02 04:00:00+00:00,0.8721,0.8736,0.8561,0.8681,7307.0
2024-05-02 08:00:00+00:00,0.8662,0.9021,0.8662,0.9006,9584.0
2024-05-02 12:00:00+00:00,0.9006,0.9152,0.8922,0.9104,34153.0
2024-05-02 16:00:00+00:00,0.9027,0.9201,0.8983,0.9111,5943.0
2024-05-02 20:00:00+00:00,0.909,0.9215,0.9024,0.9132,3942.0
2024-05-03 00:00:00+00:00,0.9121,0.9271,0.9084,0.9212,7333.0
2024-05-03 04:00:00+00:00,0.9095,0.9095,0.8959,0.8973,3995.0
2024-05-03 08:00:00+00:00,0.9021,0.9114,0.8996,0.9016,6160.0
2024-05-03 12:00:00+00:00,0.903,0.94,0.903,0.9384,16493.0
2024-05-03 16:00:00+00:00,0.9417,0.945,0.9216,0.9301,26871.0
2024-05-03 20:00:00+00:00,0.9323,0.9526,0.9321,0.9384,10443.0
2024-05-04 00:00:00+00:00,0.9407,0.9451,0.9295,0.9344,3117.0
2024-05-04 04:00:00+00:00,0.9383,0.9383,0.9329,0.933,1173.0
2024-05-04 08:00:00+00:00,0.9374,0.9582,0.9346,0.9476,4033.0
2024-05-04 12:00:00+00:00,0.9529,0.954,0.9379,0.9476,942.0
2024-05-04 16:00:00+00:00,0.9537,0.963,0.9497,0.9533,6907.0
2024-05-04 20:00:00+00:00,0.9574,0.9595,0.9457,0.9505,11932.0
2024-05-05 00:00:00+00:00,0.9506,0.96,0.9301,0.9451,8352.0
2024-05-05 04:00:00+00:00,0.9455,0.9567,0.9378,0.9535,4466.0
2024-05-05 08:00:00+00:00,0.9516,0.991,0.9476,0.9746,83999.0
2024-05-05 12:00:00+00:00,0.9715,0.9903,0.9573,0.9888,20841.0
2024-05-05 16:00:00+00:00,0.9883,0.9964,0.9757,0.9758,21117.0
2024-05-05 20:00:00+00:00,0.9776,0.9825,0.9704,0.9811,14991.0
2024-05-06 00:00:00+00:00,0.9857,1.0021,0.9803,0.9896,18445.0
2024-05-06 04:00:00+00:00,0.9859,1.024,0.9856,1.024,15415.0
2024-05-06 08:00:00+00:00,1.026,1.0476,1.0069,1.0081,29173.0
2024-05-06 12:00:00+00:00,1.017,1.017,0.9702,0.989,13004.0
2024-05-06 16:00:00+00:00,0.987,0.9938,0.976,0.9875,7829.0
2024-05-06 20:00:00+00:00,0.9861,0.9897,0.9743,0.9762,1920.0
2024-05-07 00:00:00+00:00,0.982,0.9901,0.9526,0.9638,10895.0
2024-05-07 04:00:00+00:00,0.9628,0.9661,0.954,0.9581,3506.0
2024-05-07 08:00:00+00:00,0.955,0.9789,0.955,0.9601,2555.0
2024-05-07 12:00:00+00:00,0.9634,0.9889,0.957,0.9741,7041.0
2024-05-07 16:00:00+00:00,0.9728,0.98,0.9628,0.9697,4939.0
2024-05-07 20:00:00+00:00,0.9714,0.9717,0.9445,0.9466,2150.0
2024-05-08 00:00:00+00:00,0.9512,0.9557,0.9333,0.954,8358.0
2024-05-08 04:00:00+00:00,0.9564,0.9581,0.9322,0.9379,10912.0
2024-05-08 08:00:00+00:00,0.9384,0.9525,0.9351,0.9513,17246.0
2024-05-08 12:00:00+00:00,0.9494,0.9872,0.9449,0.974,14529.0
2024-05-08 16:00:00+00:00,0.9699,0.9978,0.9671,0.9828,16876.0
2024-05-08 20:00:00+00:00,0.9775,0.9816,0.944,0.9519,13706.0
2024-05-09 00:00:00+00:00,0.95,0.9629,0.9487,0.9569,9046.0
2024-05-09 04:00:00+00:00,0.9586,0.9692,0.9446,0.9462,27725.0
2024-05-09 08:00:00+00:00,0.9481,0.9638,0.931,0.9554,42207.0
2024-05-09 12:00:00+00:00,0.9575,0.9771,0.9574,0.9695,7183.0
2024-05-09 16:00:00+00:00,0.9757,0.9757,0.9519,0.9602,7767.0
2024-05-09 20:00:00+00:00,0.9655,0.9855,0.9584,0.9783,5128.0
2024-05-10 00:00:00+00:00,0.9787,0.9797,0.9716,0.9728,821.0
2024-05-10 04:00:00+00:00,0.9725,0.9937,0.9725,0.9914,1906.0
2024-05-10 08:00:00+00:00,0.9913,1.1037,0.9844,1.0789,99932.0
2024-05-10 12:00:00+00:00,1.0795,1.0915,1.0049,1.0083,253132.0
2024-05-10 16:00:00+00:00,1.0056,1.022,0.9812,0.996,77778.0
2024-05-10 20:00:00+00:00,0.9981,1.0204,0.981,1.015,25822.0
2024-05-11 00:00:00+00:00,1.0121,1.043,1.0111,1.0245,55522.0
2024-05-11 04:00:00+00:00,1.0222,1.0629,1.0154,1.0211,101961.0
2024-05-11 08:00:00+00:00,1.0164,1.0344,1.0021,1.0053,53181.0
2024-05-11 12:00:00+00:00,1.006,1.0509,1.0048,1.0434,49249.0
2024-05-11 16:00:00+00:00,1.044,1.0514,1.023,1.0267,30575.0
2024-05-11 20:00:00+00:00,1.0279,1.0357,1.016,1.0161,23981.0
2024-05-12 00:00:00+00:00,1.0166,1.0266,1.0023,1.0206,17033.0
2024-05-12 04:00:00+00:00,1.0233,1.03,1.0044,1.0087,30250.0
2024-05-12 08:00:00+00:00,1.0097,1.0275,1.0065,1.0082,20183.0
2024-05-12 12:00:00+00:00,1.0061,1.0092,0.9823,0.9876,14721.0
2024-05-12 16:00:00+00:00,0.9913,0.9981,0.9602,0.9684,35234.0
2024-05-12 20:00:00+00:00,0.9698,0.9756,0.964,0.967,18513.0
2024-05-13 00:00:00+00:00,0.9699,0.977,0.925,0.9351,40701.0
2024-05-13 04:00:00+00:00,0.9353,0.9828,0.927,0.9805,22311.0
2024-05-13 08:00:00+00:00,0.9827,1.0265,0.9827,0.9898,38093.0
2024-05-13 12:00:00+00:00,0.9908,1.0055,0.9802,0.9987,14010.0
2024-05-13 16:00:00+00:00,0.9943,1.0325,0.981,0.9974,19571.0
2024-05-13 20:00:00+00:00,0.9936,0.9991,0.9342,0.9432,25352.0
2024-05-14 00:00:00+00:00,0.9425,0.9425,0.9008,0.9116,54835.0
2024-05-14 04:00:00+00:00,0.9117,0.9305,0.8913,0.9079,82458.0
2024-05-14 08:00:00+00:00,0.9135,0.9137,0.9045,0.9045,12320.0
2024-05-14 12:00:00+00:00,0.9107,0.918,0.8729,0.8919,72434.0
