ts,open,high,low,close,volume
2024-04-16 16:00:00+00:00,460.4,483.4,458.2,477.5,19015.0
2024-04-16 20:00:00+00:00,481.4,504.8,479.1,500.8,9286.0
2024-04-17 00:00:00+00:00,495.8,511.6,493.5,502.0,13888.0
2024-04-17 04:00:00+00:00,498.1,509.9,487.5,493.1,11380.0
2024-04-17 08:00:00+00:00,494.6,495.6,458.9,464.8,20397.0
2024-04-17 12:00:00+00:00,467.7,470.7,437.4,445.4,35290.0
2024-04-17 16:00:00+00:00,446.5,481.6,440.2,461.0,27354.0
2024-04-17 20:00:00+00:00,462.8,463.1,448.0,455.4,4678.0
2024-04-18 00:00:00+00:00,454.7,466.7,446.2,458.7,9289.0
2024-04-18 04:00:00+00:00,458.9,469.8,438.2,439.8,13062.0
2024-04-18 08:00:00+00:00,443.6,465.7,434.9,457.0,29503.0
2024-04-18 12:00:00+00:00,453.1,475.1,447.4,467.5,12193.0
2024-04-18 16:00:00+00:00,469.9,473.2,455.1,471.6,4881.0
2024-04-18 20:00:00+00:00,469.1,469.8,460.6,465.4,1837.0
2024-04-19 00:00:00+00:00,463.3,465.0,429.3,447.2,10587.0
2024-04-19 04:00:00+00:00,449.0,472.5,445.8,462.9,4545.0
2024-04-19 08:00:00+00:00,467.8,474.6,459.9,472.7,8415.0
2024-04-19 12:00:00+00:00,469.5,476.7,460.0,470.6,5266.0
2024-04-19 16:00:00+00:00,464.6,464.6,454.1,459.1,2702.0
2024-04-19 20:00:00+00:00,454.5,455.2,428.9,440.6,18315.0
2024-04-20 00:00:00+00:00,440.9,448.9,435.0,441.2,12751.0
2024-04-20 04:00:00+00:00,443.1,455.2,442.3,452.1,5259.0
2024-04-20 08:00:00+00:00,452.2,452.3,437.0,440.7,7161.0
2024-04-20 12:00:00+00:00,440.6,459.5,439.3,458.0,7176.0
2024-04-20 16:00:00+00:00,458.4,485.1,452.9,482.2,19434.0
2024-04-20 20:00:00+00:00,482.6,492.1,481.4,485.6,8432.0
2024-04-21 00:00:00+00:00,484.0,487.5,473.3,477.3,10287.0
2024-04-21 04:00:00+00:00,475.5,485.3,473.4,478.0,5505.0
2024-04-21 08:00:00+00:00,477.9,481.2,471.1,475.4,4159.0
2024-04-21 12:00:00+00:00,476.0,477.2,461.2,469.0,15893.0
2024-04-21 16:00:00+00:00,464.0,479.2,458.9,475.2,7129.0
2024-04-21 20:00:00+00:00,474.5,486.9,473.3,474.7,7953.0
2024-04-22 00:00:00+00:00,474.8,486.1,466.3,486.1,11173.0
2024-04-22 04:00:00+00:00,483.5,494.6,478.6,483.0,10381.0
2024-04-22 08:00:00+00:00,480.6,489.5,476.8,486.2,5683.0
2024-04-22 12:00:00+00:00,484.8,489.6,477.2,481.6,7804.0
2024-04-22 16:00:00+00:00,482.2,525.2,482.2,507.7,23307.0
2024-04-22 20:00:00+00:00,507.6,531.4,507.6,520.8,33596.0
2024-04-23 00:00:00+00:00,520.8,532.5,511.0,511.2,10963.0
2024-04-23 04:00:00+00:00,513.3,519.5,502.0,503.0,11920.0
2024-04-23 08:00:00+00:00,503.7,516.4,493.5,513.7,15586.0
2024-04-23 12:00:00+00:00,511.5,529.6,507.1,510.8,21502.0
2024-04-23 16:00:00+00:00,510.4,513.7,499.9,504.5,14591.0
2024-04-23 20:00:00+00:00,503.5,504.0,494.7,499.7,7523.0
2024-04-24 00:00:00+00:00,500.5,505.4,490.0,493.3,6906.0
2024-04-24 04:00:00+00:00,493.9,500.6,491.6,495.7,5509.0
2024-04-24 08:00:00+00:00,493.1,507.5,491.9,500.6,10993.0
2024-04-24 12:00:00+00:00,500.3,506.5,471.4,472.4,22979.0
2024-04-24 16:00:00+00:00,471.3,474.5,443.7,451.9,54006.0
2024-04-24 20:00:00+00:00,453.7,456.8,444.5,451.5,49057.0
2024-04-25 00:00:00+00:00,452.8,460.3,446.9,447.3,26173.0
2024-04-25 04:00:00+00:00,447.3,461.8,438.8,461.3,37910.0
2024-04-25 08:00:00+00:00,461.0,465.0,447.6,459.0,9881.0
2024-04-25 12:00:00+00:00,459.0,463.2,450.0,462.3,5262.0
2024-04-25 16:00:00+00:00,462.8,465.8,457.7,463.4,4657.0
2024-04-25 20:00:00+00:00,464.4,472.9,458.6,459.9,14670.0
2024-04-26 00:00:00+00:00,460.8,460.9,445.7,451.5,5156.0
2024-04-26 04:00:00+00:00,450.8,458.0,444.4,444.4,12310.0
2024-04-26 08:00:00+00:00,444.7,449.4,442.6,445.5,11755.0
2024-04-26 12:00:00+00:00,446.7,446.8,430.9,437.2,29193.0
2024-04-26 16:00:00+00:00,437.1,439.0,432.9,432.9,4377.0
2024-04-26 20:00:00+00:00,433.5,435.3,425.3,426.0,10049.0
2024-04-27 00:00:00+00:00,426.9,427.4,408.7,420.4,20629.0
2024-04-27 04:00:00+00:00,422.2,424.2,419.1,423.1,6657.0
2024-04-27 08:00:00+00:00,423.0,423.0,410.7,413.7,8240.0
2024-04-27 12:00:00+00:00,413.8,423.9,413.8,415.0,10041.0
2024-04-27 16:00:00+00:00,415.2,429.5,415.2,421.8,12105.0
2024-04-27 20:00:00+00:00,422.5,424.5,418.8,421.6,4742.0
2024-04-28 00:00:00+00:00,420.9,433.6,420.1,432.7,10097.0
2024-04-28 04:00:00+00:00,432.0,437.3,427.6,436.2,11884.0
2024-04-28 08:00:00+00:00,436.2,436.2,424.2,427.4,10049.0
2024-04-28 12:00:00+00:00,427.8,435.1,426.3,434.1,8938.0
2024-04-28 16:00:00+00:00,433.8,435.9,431.0,434.0,2868.0
2024-04-28 20:00:00+00:00,433.8,435.5,419.7,423.5,6396.0
2024-04-29 00:00:00+00:00,422.1,430.0,415.9,415.9,9300.0
2024-04-29 04:00:00+00:00,416.0,421.5,406.2,413.5,10462.0
2024-04-29 08:00:00+00:00,413.9,414.3,383.3,399.3,97207.0
2024-04-29 12:00:00+00:00,398.8,409.3,389.2,408.0,29922.0
2024-04-29 16:00:00+00:00,409.3,409.8,398.8,405.5,10112.0
2024-04-29 20:00:00+00:00,408.2,411.9,399.1,401.4,10011.0
2024-04-30 00:00:00+00:00,402.0,406.4,392.0,398.1,21605.0
2024-04-30 04:00:00+00:00,398.3,398.6,387.6,389.4,14588.0
2024-04-30 08:00:00+00:00,389.4,390.0,371.7,375.0,35876.0
2024-04-30 12:00:00+00:00,375.2,381.5,365.7,377.3,31354.0
2024-04-30 16:00:00+00:00,373.1,380.3,368.7,371.0,16746.0
2024-04-30 20:00:00+00:00,373.4,392.8,373.4,388.4,22761.0
2024-05-01 00:00:00+00:00,389.0,392.2,372.7,377.0,16820.0
2024-05-01 04:00:00+00:00,376.9,377.3,342.1,346.1,81833.0
2024-05-01 08:00:00+00:00,345.5,364.8,339.9,361.1,33439.0
2024-05-01 12:00:00+00:00,360.8,367.3,355.1,358.0,8037.0
2024-05-01 16:00:00+00:00,359.2,390.3,356.4,374.4,15237.0
2024-05-01 20:00:00+00:00,374.8,384.4,371.1,380.9,3029.0
2024-05-02 00:00:00+00:00,380.4,381.5,367.9,375.0,15964.0
2024-05-02 04:00:00+00:00,376.0,377.0,370.8,373.3,3772.0
2024-05-02 08:00:00+00:00,375.1,401.0,374.6,397.3,17619.0
2024-05-02 12:00:00+00:00,396.1,411.3,392.5,401.3,22370.0
2024-05-02 16:00:00+00:00,401.8,406.2,395.2,401.2,6702.0
2024-05-02 20:00:00+00:00,401.3,412.2,394.0,404.2,14285.0
2024-05-03 00:00:00+00:00,404.2,408.3,398.1,407.4,7171.0
2024-05-03 04:00:00+00:00,407.0,407.2,396.8,397.8,6963.0
2024-05-03 08:00:00+00:00,399.0,402.0,392.9,394.4,7150.0
2024-05-03 12:00:00+00:00,394.7,434.0,394.1,429.6,36387.0
2024-05-03 16:00:00+00:00,429.1,435.4,418.5,419.8,20404.0
2024-05-03 20:00:00+00:00,419.7,432.3,419.4,425.4,14066.0
2024-05-04 00:00:00+00:00,424.9,445.2,423.6,432.0,17751.0
2024-05-04 04:00:00+00:00,432.0,442.2,429.4,431.9,31493.0
2024-05-04 08:00:00+00:00,432.5,454.6,432.5,445.1,27360.0
2024-05-04 12:00:00+00:00,444.9,458.9,443.4,449.0,29724.0
2024-05-04 16:00:00+00:00,449.0,461.6,443.8,460.7,9184.0
2024-05-04 20:00:00+00:00,461.2,469.6,444.6,446.1,12015.0
2024-05-05 00:00:00+00:00,447.4,452.5,430.5,433.6,22518.0
2024-05-05 04:00:00+00:00,434.4,443.4,430.6,440.8,9092.0
2024-05-05 08:00:00+00:00,440.7,444.4,437.1,438.6,11947.0
2024-05-05 12:00:00+00:00,437.4,459.2,433.8,455.1,13058.0
2024-05-05 16:00:00+00:00,455.8,478.0,454.6,463.8,24830.0
2024-05-05 20:00:00+00:00,464.4,464.4,451.1,454.8,7945.0
2024-05-06 00:00:00+00:00,455.0,472.4,455.0,461.8,19863.0
2024-05-06 04:00:00+00:00,461.5,477.0,457.6,471.3,16489.0
2024-05-06 08:00:00+00:00,470.9,488.3,459.8,469.0,20042.0
2024-05-06 12:00:00+00:00,468.7,471.3,443.3,450.6,20454.0
2024-05-06 16:00:00+00:00,450.0,452.6,438.5,444.2,8504.0
2024-05-06 20:00:00+00:00,444.0,446.8,439.8,441.3,8098.0
2024-05-07 00:00:00+00:00,441.9,453.6,431.8,439.2,20857.0
2024-05-07 04:00:00+00:00,439.2,442.7,430.2,432.7,8935.0
2024-05-07 08:00:00+00:00,432.1,462.3,431.4,436.1,29710.0
2024-05-07 12:00:00+00:00,435.7,448.4,435.7,439.0,10046.0
2024-05-07 16:00:00+00:00,438.4,442.8,430.3,433.2,9501.0
2024-05-07 20:00:00+00:00,433.1,435.4,417.9,418.8,10894.0
2024-05-08 00:00:00+00:00,420.2,427.6,416.6,425.6,10476.0
2024-05-08 04:00:00+00:00,424.8,428.0,406.8,406.8,11234.0
2024-05-08 08:00:00+00:00,408.1,413.6,391.2,392.0,38445.0
2024-05-08 12:00:00+00:00,391.8,402.1,375.9,392.7,58180.0
2024-05-08 16:00:00+00:00,392.5,397.1,386.3,393.0,16304.0
2024-05-08 20:00:00+00:00,393.3,396.5,383.6,391.5,13068.0
2024-05-09 00:00:00+00:00,391.1,406.1,391.1,398.6,13525.0
2024-05-09 04:00:00+00:00,396.7,405.0,393.7,395.4,12454.0
2024-05-09 08:00:00+00:00,397.6,399.0,382.7,384.4,19438.0
2024-05-09 12:00:00+00:00,384.6,405.2,381.0,399.9,16490.0
2024-05-09 16:00:00+00:00,399.5,408.2,390.1,394.2,26101.0
2024-05-09 20:00:00+00:00,394.1,398.9,389.0,393.0,23338.0
2024-05-10 00:00:00+00:00,392.7,399.3,387.7,395.0,12412.0
2024-05-10 04:00:00+00:00,395.0,400.0,390.2,394.1,19610.0
2024-05-10 08:00:00+00:00,394.1,397.0,389.0,395.2,15273.0
2024-05-10 12:00:00+00:00,395.1,400.3,366.6,373.1,65231.0
2024-05-10 16:00:00+00:00,371.8,378.8,366.9,370.1,30667.0
2024-05-10 20:00:00+00:00,370.4,378.0,369.8,376.8,9954.0
2024-05-11 00:00:00+00:00,376.6,382.8,372.5,374.1,7987.0
2024-05-11 04:00:00+00:00,373.8,380.3,373.8,380.1,11064.0
2024-05-11 08:00:00+00:00,380.7,381.4,370.3,372.4,9066.0
2024-05-11 12:00:00+00:00,373.0,384.5,371.0,383.0,28007.0
2024-05-11 16:00:00+00:00,383.5,383.5,375.0,377.1,19159.0
2024-05-11 20:00:00+00:00,376.8,377.5,372.6,374.2,8184.0
2024-05-12 00:00:00+00:00,374.7,381.8,374.4,379.4,7208.0
2024-05-12 04:00:00+00:00,379.0,381.8,374.0,374.5,8630.0
2024-05-12 08:00:00+00:00,374.3,379.5,374.3,375.9,4946.0
2024-05-12 12:00:00+00:00,375.8,377.6,367.9,373.0,16568.0
2024-05-12 16:00:00+00:00,372.6,373.8,357.7,364.1,31311.0
2024-05-12 20:00:00+00:00,364.1,367.0,360.3,362.7,5762.0
2024-05-13 00:00:00+00:00,364.7,366.2,339.6,345.5,42626.0
2024-05-13 04:00:00+00:00,345.4,365.4,343.7,364.5,46681.0
2024-05-13 08:00:00+00:00,365.2,376.1,359.6,364.9,45811.0
2024-05-13 12:00:00+00:00,364.7,367.9,359.5,363.8,24363.0
2024-05-13 16:00:00+00:00,364.2,374.5,359.0,360.9,26036.0
2024-05-13 20:00:00+00:00,361.2,361.8,355.5,357.2,10044.0
2024-05-14 00:00:00+00:00,356.7,359.0,347.4,353.0,34807.0
2024-05-14 04:00:00+00:00,353.0,358.6,344.6,347.8,17918.0
2024-05-14 08:00:00+00:00,347.9,348.4,339.7,341.3,28890.0
2024-05-14 12:00:00+00:00,341.5,345.5,333.3,339.7,37197.0
2024-05-14 16:00:00+00:00,339.0,349.5,335.3,345.0,36688.0
2024-05-14 20:00:00+00:00,345.0,348.9,340.0,343.6,12874.0
2024-05-15 00:00:00+00:00,344.0,347.7,340.5,346.0,6988.0
2024-05-15 04:00:00+00:00,346.3,350.6,344.1,348.9,14586.0
2024-05-15 08:00:00+00:00,348.7,361.5,343.7,355.2,30343.0
2024-05-15 12:00:00+00:00,355.0,391.0,354.3,379.4,107628.0
2024-05-15 16:00:00+00:00,380.0,393.2,376.1,389.9,38816.0
2024-05-15 20:00:00+00:00,389.2,397.8,386.9,389.7,31589.0
2024-05-16 00:00:00+00:00,389.7,391.1,380.6,387.4,38713.0
2024-05-16 04:00:00+00:00,387.7,400.2,385.7,398.6,27424.0
2024-05-16 08:00:00+00:00,397.8,405.0,392.4,403.8,27492.0
2024-05-16 12:00:00+00:00,402.2,402.2,375.8,383.3,59661.0
2024-05-16 16:00:00+00:00,383.6,391.4,378.7,384.6,20821.0
2024-05-16 20:00:00+00:00,385.4,386.8,379.9,382.2,5519.0
2024-05-17 00:00:00+00:00,382.3,387.8,378.5,385.2,8902.0
2024-05-17 04:00:00+00:00,385.6,388.1,380.2,384.8,22920.0
2024-05-17 08:00:00+00:00,385.6,386.4,378.0,379.7,26263.0
2024-05-17 12:00:00+00:00,379.9,399.0,376.7,396.2,39147.0
2024-05-17 16:00:00+00:00,396.6,398.1,380.7,384.3,13670.0
2024-05-17 20:00:00+00:00,384.1,385.4,380.4,380.9,5763.0
2024-05-18 00:00:00+00:00,381.2,384.4,376.5,384.4,8624.0
2024-05-18 04:00:00+00:00,384.5,390.0,382.4,384.9,7909.0
2024-05-18 08:00:00+00:00,384.9,390.0,382.6,383.0,10190.0
2024-05-18 12:00:00+00:00,383.0,383.9,375.6,380.1,22672.0
2024-05-18 16:00:00+00:00,380.2,388.4,379.1,384.9,11049.0
2024-05-18 20:00:00+00:00,383.3,384.6,379.7,382.6,2669.0
2024-05-19 00:00:00+00:00,382.6,387.6,381.7,385.7,2991.0
2024-05-19 04:00:00+00:00,385.0,391.4,381.8,391.2,7590.0
2024-05-19 08:00:00+00:00,392.0,394.2,378.7,380.5,59835.0
2024-05-19 12:00:00+00:00,380.3,380.4,367.4,372.0,17173.0
2024-05-19 16:00:00+00:00,372.7,373.7,361.0,362.5,44342.0
2024-05-19 20:00:00+00:00,361.7,365.8,358.6,365.3,6456.0
2024-05-20 00:00:00+00:00,364.7,368.8,358.1,366.8,6202.0
2024-05-20 04:00:00+00:00,367.9,378.1,366.7,370.4,14793.0
