ts,open,high,low,close,volume
2024-04-16 16:00:00+00:00,5.9284,6.25,5.9069,6.0673,1562906.0
2024-04-16 20:00:00+00:00,6.0725,6.437,6.0132,6.3318,1414537.0
2024-04-17 00:00:00+00:00,6.321,6.5919,6.2629,6.4113,1854965.0
2024-04-17 04:00:00+00:00,6.4144,6.6742,6.3283,6.3643,1512710.0
2024-04-17 08:00:00+00:00,6.3669,6.4465,6.1259,6.1536,1307076.0
2024-04-17 12:00:00+00:00,6.1587,6.2586,6.0147,6.0814,2649698.0
2024-04-17 16:00:00+00:00,6.0808,6.2356,6.0048,6.0814,3371907.0
2024-04-17 20:00:00+00:00,6.0861,6.2262,6.0513,6.0781,1899314.0
2024-04-18 00:00:00+00:00,6.0729,6.1755,5.913,6.0762,1152000.0
2024-04-18 04:00:00+00:00,6.075,6.1054,5.8001,5.9105,1744447.0
2024-04-18 08:00:00+00:00,5.9082,6.3526,5.8942,6.1111,1847517.0
2024-04-18 12:00:00+00:00,6.115,6.304,6.0111,6.2103,2287129.0
2024-04-18 16:00:00+00:00,6.2168,6.4763,6.1711,6.4763,1958777.0
2024-04-18 20:00:00+00:00,6.4721,6.5987,6.4522,6.508,1675787.0
2024-04-19 00:00:00+00:00,6.5081,6.8017,6.1976,6.7832,3345479.0
2024-04-19 04:00:00+00:00,6.7747,6.9959,6.6279,6.9032,2753536.0
2024-04-19 08:00:00+00:00,6.9051,7.2996,6.5015,6.8122,11890866.0
2024-04-19 12:00:00+00:00,6.7959,6.9009,6.1811,6.359,9475400.0
2024-04-19 16:00:00+00:00,6.3606,6.38,6.046,6.1711,3181193.0
2024-04-19 20:00:00+00:00,6.1644,6.214,5.956,6.0599,1791943.0
2024-04-20 00:00:00+00:00,6.052,6.1313,5.9067,6.0674,2628438.0
2024-04-20 04:00:00+00:00,6.0621,6.2237,6.036,6.2226,1165932.0
2024-04-20 08:00:00+00:00,6.2229,6.3604,6.1097,6.1579,4676856.0
2024-04-20 12:00:00+00:00,6.157,6.2121,6.0469,6.1664,1486456.0
2024-04-20 16:00:00+00:00,6.1818,6.2739,6.0413,6.1785,3344002.0
2024-04-20 20:00:00+00:00,6.1768,6.2176,6.121,6.2046,1098764.0
2024-04-21 00:00:00+00:00,6.2024,6.2976,6.1236,6.2042,1132122.0
2024-04-21 04:00:00+00:00,6.1979,6.2521,6.1684,6.2392,1050412.0
2024-04-21 08:00:00+00:00,6.2368,6.2694,6.1517,6.2131,1605417.0
2024-04-21 12:00:00+00:00,6.2125,6.2198,6.0606,6.101,1084844.0
2024-04-21 16:00:00+00:00,6.0947,6.1253,5.9603,6.09,852648.0
2024-04-21 20:00:00+00:00,6.0876,6.1641,6.0512,6.1272,302451.0
2024-04-22 00:00:00+00:00,6.1251,6.234,6.1044,6.1676,1144367.0
2024-04-22 04:00:00+00:00,6.1643,6.2142,6.1224,6.1374,1524902.0
2024-04-22 08:00:00+00:00,6.1371,6.1888,6.0397,6.0534,987414.0
2024-04-22 12:00:00+00:00,6.0535,6.1307,6.0454,6.0547,887448.0
2024-04-22 16:00:00+00:00,6.0523,6.0754,5.9063,5.9596,1172785.0
2024-04-22 20:00:00+00:00,5.9622,5.9869,5.811,5.9288,1484527.0
2024-04-23 00:00:00+00:00,5.9321,6.08,5.8664,5.8664,979948.0
2024-04-23 04:00:00+00:00,5.8665,5.901,5.492,5.5403,2759564.0
2024-04-23 08:00:00+00:00,5.543,5.716,5.4091,5.6709,2618185.0
2024-04-23 12:00:00+00:00,5.6605,5.729,5.5953,5.665,1456402.0
2024-04-23 16:00:00+00:00,5.6724,5.765,5.6633,5.7049,1401583.0
2024-04-23 20:00:00+00:00,5.6992,5.7313,5.6146,5.7098,502160.0
2024-04-24 00:00:00+00:00,5.7097,5.8332,5.6845,5.7825,1390665.0
2024-04-24 04:00:00+00:00,5.7824,5.9839,5.7824,5.8714,2527304.0
2024-04-24 08:00:00+00:00,5.875,5.8787,5.7445,5.7829,2396819.0
2024-04-24 12:00:00+00:00,5.7852,5.789,5.4561,5.5185,2962029.0
2024-04-24 16:00:00+00:00,5.5118,5.6712,5.4378,5.618,2175098.0
2024-04-24 20:00:00+00:00,5.6108,5.6504,5.4899,5.5514,297953.0
2024-04-25 00:00:00+00:00,5.5503,5.6368,5.4425,5.525,801487.0
2024-04-25 04:00:00+00:00,5.5198,5.5573,5.4252,5.4615,842345.0
2024-04-25 08:00:00+00:00,5.4615,5.492,5.0,5.216,3319449.0
2024-04-25 12:00:00+00:00,5.2126,5.4296,5.1578,5.3958,1059005.0
2024-04-25 16:00:00+00:00,5.4031,5.5413,5.3929,5.5261,1057308.0
2024-04-25 20:00:00+00:00,5.5253,5.544,5.3676,5.3904,969073.0
2024-04-26 00:00:00+00:00,5.3898,5.4105,5.263,5.3507,510635.0
2024-04-26 04:00:00+00:00,5.3501,5.469,5.3087,5.3573,946492.0
2024-04-26 08:00:00+00:00,5.3515,5.4429,5.345,5.4002,1152669.0
2024-04-26 12:00:00+00:00,5.3903,5.4433,5.2912,5.3454,890577.0
2024-04-26 16:00:00+00:00,5.3495,5.4208,5.3219,5.3775,1003402.0
2024-04-26 20:00:00+00:00,5.3712,5.4229,5.3035,5.3274,797680.0
2024-04-27 00:00:00+00:00,5.3398,5.4175,5.14,5.3138,1304805.0
2024-04-27 04:00:00+00:00,5.3125,5.3225,5.1644,5.2497,1260620.0
2024-04-27 08:00:00+00:00,5.2505,5.3174,5.19,5.2168,537101.0
2024-04-27 12:00:00+00:00,5.2066,5.314,5.2037,5.2806,1477037.0
2024-04-27 16:00:00+00:00,5.2866,5.4552,5.2799,5.3537,886580.0
2024-04-27 20:00:00+00:00,5.3553,5.4234,5.335,5.3941,1057942.0
2024-04-28 00:00:00+00:00,5.3969,5.5021,5.3872,5.4939,1078228.0
2024-04-28 04:00:00+00:00,5.4959,5.5963,5.4362,5.561,1099755.0
2024-04-28 08:00:00+00:00,5.5557,5.591,5.3903,5.4496,843116.0
2024-04-28 12:00:00+00:00,5.4487,5.5216,5.415,5.4966,647199.0
2024-04-28 16:00:00+00:00,5.5056,5.6035,5.4888,5.5613,251156.0
2024-04-28 20:00:00+00:00,5.5648,5.5739,5.4033,5.4216,455156.0
2024-04-29 00:00:00+00:00,5.4218,5.4903,5.3114,5.3314,386998.0
2024-04-29 04:00:00+00:00,5.3277,5.3806,5.1944,5.2798,713542.0
2024-04-29 08:00:00+00:00,5.2721,5.3071,5.192,5.2552,726646.0
2024-04-29 12:00:00+00:00,5.2532,5.3144,5.2033,5.2824,332677.0
2024-04-29 16:00:00+00:00,5.2936,5.3058,5.1929,5.2431,349224.0
2024-04-29 20:00:00+00:00,5.245,5.3584,5.1764,5.3082,284890.0
2024-04-30 00:00:00+00:00,5.3159,5.4256,5.2768,5.379,648393.0
2024-04-30 04:00:00+00:00,5.3756,5.4007,5.2912,5.3809,1129305.0
2024-04-30 08:00:00+00:00,5.3821,5.3821,5.1719,5.2053,1822014.0
2024-04-30 12:00:00+00:00,5.1846,5.3224,5.038,5.1754,1900020.0
2024-04-30 16:00:00+00:00,5.1714,5.1835,4.965,5.0198,2082988.0
2024-04-30 20:00:00+00:00,5.0236,5.2316,5.0225,5.1605,411137.0
2024-05-01 00:00:00+00:00,5.1701,5.1716,5.0454,5.0813,355825.0
2024-05-01 04:00:00+00:00,5.0808,5.0915,4.725,4.7634,1800004.0
2024-05-01 08:00:00+00:00,4.75,4.8212,4.6446,4.7408,1628659.0
2024-05-01 12:00:00+00:00,4.7408,4.8134,4.6,4.6204,1226799.0
2024-05-01 16:00:00+00:00,4.6096,4.9655,4.6013,4.7751,2640761.0
2024-05-01 20:00:00+00:00,4.7782,4.93,4.7362,4.8835,632246.0
2024-05-02 00:00:00+00:00,4.8806,4.8875,4.6879,4.7484,637019.0
2024-05-02 04:00:00+00:00,4.7481,4.7861,4.6822,4.7493,453242.0
2024-05-02 08:00:00+00:00,4.7451,4.9174,4.736,4.8803,787045.0
2024-05-02 12:00:00+00:00,4.884,5.0938,4.7833,5.0363,1422198.0
2024-05-02 16:00:00+00:00,5.0494,5.1847,4.9772,5.1668,821294.0
2024-05-02 20:00:00+00:00,5.1655,5.268,5.0912,5.1312,715486.0
2024-05-03 00:00:00+00:00,5.1338,5.3487,5.1052,5.3125,586284.0
2024-05-03 04:00:00+00:00,5.3289,5.3963,5.247,5.2989,859498.0
2024-05-03 08:00:00+00:00,5.2994,5.4089,5.2159,5.2577,2928855.0
2024-05-03 12:00:00+00:00,5.2536,5.5528,5.2508,5.4735,3499338.0
2024-05-03 16:00:00+00:00,5.4856,5.8,5.478,5.7333,1706473.0
2024-05-03 20:00:00+00:00,5.7292,5.8041,5.6688,5.6894,694803.0
2024-05-04 00:00:00+00:00,5.6908,5.779,5.6567,5.779,461721.0
2024-05-04 04:00:00+00:00,5.7725,5.826,5.7411,5.7469,479695.0
2024-05-04 08:00:00+00:00,5.7504,5.8436,5.6907,5.7078,984214.0
2024-05-04 12:00:00+00:00,5.7172,5.76,5.665,5.7036,609944.0
2024-05-04 16:00:00+00:00,5.7086,5.7419,5.6827,5.7216,252127.0
2024-05-04 20:00:00+00:00,5.7244,5.7868,5.707,5.7487,490374.0
2024-05-05 00:00:00+00:00,5.7523,5.7899,5.57,5.6121,731252.0
2024-05-05 04:00:00+00:00,5.6178,5.7433,5.58,5.6949,372947.0
2024-05-05 08:00:00+00:00,5.6914,5.7819,5.6722,5.7624,722428.0
2024-05-05 12:00:00+00:00,5.7611,5.9833,5.74,5.9561,959858.0
2024-05-05 16:00:00+00:00,5.9624,5.9673,5.8108,5.8567,804198.0
2024-05-05 20:00:00+00:00,5.8578,5.9833,5.8484,5.9655,185911.0
2024-05-06 00:00:00+00:00,5.9688,5.9975,5.8782,5.9022,318260.0
2024-05-06 04:00:00+00:00,5.9076,6.1253,5.894,6.1253,645405.0
2024-05-06 08:00:00+00:00,6.1276,6.2024,5.9018,6.05,1669291.0
2024-05-06 12:00:00+00:00,6.0398,6.0506,5.8271,5.9321,864570.0
